Month;FRA District;FRA Safety Management Team;Holding Company;Parent Railroad;Railroad;Railroad Class;Year;Calendar Year;Fiscal Year;Railroad Concat;Railroadcode;Railroadname;Reporting Parent Railroad Code;Reporting Parent Railroad Name;reporting_railroad_class;Employee Hours Worked;Number of Passengers Transported;Passenger Miles;Reports;Total Train Miles;Yard Switching Miles
Sep;1;SMT-2 - Short Line East;Not Assigned;NEW ENGLAND SOUTHERN RAILROAD COMPANY, INC. [NEGS];NEW ENGLAND SOUTHERN RAILROAD COMPANY, INC. [NEGS];Class III;2025;2025;2025;NEW ENGLAND SOUTHERN RAILROAD COMPANY, INC. [NEGS];NEGS;NEW ENGLAND SOUTHERN RAILROAD COMPANY, INC.;NEGS;NEW ENGLAND SOUTHERN RAILROAD COMPANY, INC.;Class III;126;;0;1;50;10
Sep;1;SMT-2 - Short Line East;Not Assigned;NEW HAMPSHIRE CENTRAL RAILROAD, INC. [NHCR];NEW HAMPSHIRE CENTRAL RAILROAD, INC. [NHCR];Class III;2025;2025;2025;NEW HAMPSHIRE CENTRAL RAILROAD, INC. [NHCR];NHCR;NEW HAMPSHIRE CENTRAL RAILROAD, INC.;NHCR;NEW HAMPSHIRE CENTRAL RAILROAD, INC.;Class III;794;;0;1;58;14
Sep;1;SMT-2 - Short Line East;Pinsly;PIONEER VALLEY RAILROAD COMPANY, INC. [PVRR];PIONEER VALLEY RAILROAD COMPANY, INC. [PVRR];Class III;2025;2025;2025;PIONEER VALLEY RAILROAD COMPANY, INC. [PVRR];PVRR;PIONEER VALLEY RAILROAD COMPANY, INC.;PVRR;PIONEER VALLEY RAILROAD COMPANY, INC.;Class III;3 514;;0;1;4 116;4 116
Feb;4;SMT-4 - CPKC/CP/CN/CCD;Canadian National - North America;Canadian National - North America [CN];Chicago, Central & Pacific Railroad Company [CC];Class I;2025;2025;2025;Chicago, Central & Pacific Railroad Company [CC];CC;Chicago, Central & Pacific Railroad Company;CN;Canadian National - North America;Class I;35 907;;0;1;68 975;3 340
Apr;4;SMT-4 - CPKC/CP/CN/CCD;Canadian National - North America;Canadian National - North America [CN];Chicago, Central & Pacific Railroad Company [CC];Class I;2025;2025;2025;Chicago, Central & Pacific Railroad Company [CC];CC;Chicago, Central & Pacific Railroad Company;CN;Canadian National - North America;Class I;45 444;;0;1;77 293;3 484
May;4;SMT-4 - CPKC/CP/CN/CCD;Canadian National - North America;Canadian National - North America [CN];Chicago, Central & Pacific Railroad Company [CC];Class I;2025;2025;2025;Chicago, Central & Pacific Railroad Company [CC];CC;Chicago, Central & Pacific Railroad Company;CN;Canadian National - North America;Class I;20 815;;0;1;77 179;3 259
May;1;SMT-2 - Short Line East;Avon and Lakeville Railroad Co;B&H Rail Corp [BHX];B&H Rail Corp [BHX];Class III;2025;2025;2025;B&H Rail Corp [BHX];BHX;B&H Rail Corp;BHX;B&H Rail Corp;Class III;512;;0;1;618;216
May;1;SMT-2 - Short Line East;Avon and Lakeville Railroad Co;Livonia, Avon & Lakeville Railroad Corporation [LAL];Livonia, Avon & Lakeville Railroad Corporation [LAL];Class III;2025;2025;2025;Livonia, Avon & Lakeville Railroad Corporation [LAL];LAL;Livonia, Avon & Lakeville Railroad Corporation;LAL;Livonia, Avon & Lakeville Railroad Corporation;Class III;4 253;;0;1;1 077;304
May;1;SMT-2 - Short Line East;Avon and Lakeville Railroad Co;Western New York & Pennsylvania Railroad LLC [WNYP];Western New York & Pennsylvania Railroad LLC [WNYP];Class III;2025;2025;2025;Western New York & Pennsylvania Railroad LLC [WNYP];WNYP;Western New York & Pennsylvania Railroad LLC;WNYP;Western New York & Pennsylvania Railroad LLC;Class III;4 127;;0;1;5 303;1 114
May;1;SMT-2 - Short Line East;Chesapeake & Delaware Railroads;Dover and Rockaway River Railroad [DRRV];Dover and Rockaway River Railroad [DRRV];Class III;2025;2025;2025;Dover and Rockaway River Railroad [DRRV];DRRV;Dover and Rockaway River Railroad;DRRV;Dover and Rockaway River Railroad;Class III;216;;0;1;192;19
May;1;SMT-2 - Short Line East;Chesapeake & Delaware Railroads;Dover and Delware River Railroad, LLC [DD];Dover and Delware River Railroad, LLC [DD];Class III;2025;2025;2025;Dover and Delware River Railroad, LLC [DD];DD;Dover and Delware River Railroad, LLC;DD;Dover and Delware River Railroad, LLC;Class III;371;;0;1;390;39
