"","Commodity Group","Commodity Group Code","Originated","Received","Year","Week","Company"
"330","Trailers","V",1290,17,2025,2025-11-19,"UP"
"331","Chemicals","A",18068,3582,2025,2025-11-19,"UP"
"332","Coal","B",12672,162,2025,2025-11-19,"UP"
"333","Coke","C",633,116,2025,2025-11-19,"UP"
"334","Crushed Stone, Sand & Gravel","D",8761,33,2025,2025-11-19,"UP"
"335","Farm Products","E",243,95,2025,2025-11-19,"UP"
"336","Food & Kindred Products","F",2553,1507,2025,2025-11-19,"UP"
"337","Grain Mill Products","G",3906,388,2025,2025-11-19,"UP"
"338","Grain","H",6825,1835,2025,2025-11-19,"UP"
"339","Iron & Steel Scrap","I",912,126,2025,2025-11-19,"UP"
"340","Lumber & Wood Products","J",1095,536,2025,2025-11-19,"UP"
"341","Metallic Ores","K",360,89,2025,2025-11-19,"UP"
"342","Metal Products","L",1110,1156,2025,2025-11-19,"UP"
"343","Motor Vehicles & Equipment","M",2163,5307,2025,2025-11-19,"UP"
"344","Nonmetallic Minerals","N",891,183,2025,2025-11-19,"UP"
"345","Petroleum Products","O",3386,1984,2025,2025-11-19,"UP"
"346","Primary Forest Products","P",346,165,2025,2025-11-19,"UP"
"347","Pulp & Paper Products","Q",769,852,2025,2025-11-19,"UP"
"348","Stone, Clay, Glass","R",2929,630,2025,2025-11-19,"UP"
"349","Waste & Other Scrap","S",582,286,2025,2025-11-19,"UP"
"350","All Other","T",2485,1160,2025,2025-11-19,"UP"
"351","Containers","U",60300,10125,2025,2025-11-19,"UP"
"352","Trailers","V",1290,17,2025,2025-11-19,"UP"
"353","Chemicals","A",17827,3216,2025,2025-11-12,"UP"
"354","Coal","B",13155,147,2025,2025-11-12,"UP"
"355","Coke","C",725,153,2025,2025-11-12,"UP"
"356","Crushed Stone, Sand & Gravel","D",8567,55,2025,2025-11-12,"UP"
"357","Farm Products","E",251,105,2025,2025-11-12,"UP"
"358","Food & Kindred Products","F",2372,1662,2025,2025-11-12,"UP"
